ncp_soc,nop_trans,FALSE
ncp_trans,nop_treas,FALSE
ncp_wel,nop_wel,FALSE
nop_agri,npa,FALSE
nop_dpw,npf,FALSE
nop_dsr,ntrea,FALSE
nop_edu,nwp_agri,FALSE
nop_fin,nwp_arts,FALSE
nop_heal,nwp_dpw,FALSE
nop_leg,nwp_econ,FALSE
nop_loc,nwp_educ,FALSE
nop_plan,nwp_fin,FALSE
nop_prem,nwp_leg,FALSE
nop_saf,nwp_loc,FALSE
nop_soc,nwp_saf,FALSE
nop_trade,nwp_sdev,FALSE
nop_trans,nwp_trans,FALSE
nop_treas,nwp_wel,FALSE
nop_wel,nyc,FALSE
npa,parl,FALSE
npf,pres,FALSE
ntrea,psa,FALSE
nwp_agri,psc,FALSE
nwp_arts,saf,FALSE
nwp_dpw,samdi,FALSE
nwp_econ,samfa,FALSE
nwp_educ,sandf,FALSE
nwp_fin,sars,FALSE
nwp_heal,sasec,FALSE
nwp_hous,sasfs,FALSE
nwp_leg,sasgp,FALSE
nwp_loc,saskz,FALSE
nwp_prem,sasmp,FALSE
nwp_saf,sasnc,FALSE
nwp_sdev,sasnp,FALSE
nwp_trans,sasnw,FALSE
nwp_wel,sassa,FALSE
nyc,saswc,FALSE
parl,sfund,FALSE
pres,smt,FALSE
psa,socgr,FALSE
psc,ssa,FALSE
saf,TCTA,FALSE
samdi,tour,FALSE
samfa,trans,FALSE
sandf,TRANSNET,FALSE
sars,wae,FALSE
sasec,waf,FALSE
sasfs,wat,FALSE
sasgp,wcp_agri,FALSE
saskz,wcp_dpa,FALSE
sasmp,wcp_dsr,FALSE
sasnc,wcp_econ,FALSE
sasnp,wcp_edu,FALSE
sasnw,wcp_env,FALSE
sassa,wcp_fin,FALSE
saswc,wcp_heal,FALSE
sfund,wcp_loc,FALSE
smt,wcp_parl,FALSE
socgr,wcp_plan,FALSE
ssa,wcp_prem,FALSE
TCTA,wcp_saf,FALSE
tour,wcp_soc,FALSE
trans,wcp_trans,FALSE
TRANSNET,wcp_wel,FALSE
wae,wel,#REF!
waf,,FALSE
wat,,FALSE
wcp_agri,,FALSE
wcp_dpa,,FALSE
wcp_dsr,,FALSE
wcp_econ,,FALSE
wcp_edu,,FALSE
wcp_env,,FALSE
wcp_fin,,FALSE
wcp_heal,,FALSE
wcp_hous,,FALSE
wcp_loc,,FALSE
wcp_parl,,FALSE
wcp_plan,,FALSE
wcp_prem,,FALSE
wcp_saf,,FALSE
wcp_soc,,FALSE
wcp_trans,,FALSE
wcp_wel,,FALSE
wel,,FALSE
wta,,FALSE
